Algoritmo,Tempo (s),Uso de Memória (MB),Precisão (%),Número de Comparações,Vertices,Execução
Floyd,0.00000426,0,100,1100,10,2
Floyd,0.00002424,0,100,16250,25,2
Floyd,0.00014506,0,100,127500,50,2
Floyd,0.00044411,0,100,427500,75,2
Floyd,0.00099040,0,100,1010000,100,2
Floyd,0.00321069,0,100,3397500,150,2
Floyd,0.00672764,0,100,8040000,200,2
Floyd,0.01276218,0,100,15687500,250,2
Floyd,0.02108147,0,100,27090000,300,2
Floyd,0.04794181,0,100,64160000,400,2
Floyd,0.08977150,0,100,125250000,500,2
Floyd,0.20530063,0,100,275047500,650,2
Floyd,0.42813318,0,100,512640000,800,2
Floyd,0.83913849,0,100,1001000000,1000,2
Floyd,2.99608490,0,100,18446744072791834320,1500,2
Floyd,0.00000475,0,100,1100,10,3
Floyd,0.00006816,0,100,16250,25,3
Floyd,0.00043650,0,100,127500,50,3
Floyd,0.00100011,0,100,427500,75,3
Floyd,0.00098852,0,100,1010000,100,3
Floyd,0.00322613,0,100,3397500,150,3
Floyd,0.00672870,0,100,8040000,200,3
Floyd,0.01277583,0,100,15687500,250,3
Floyd,0.02104688,0,100,27090000,300,3
Floyd,0.04799764,0,100,64160000,400,3
Floyd,0.08955098,0,100,125250000,500,3
Floyd,0.20279558,0,100,275047500,650,3
Floyd,0.42005607,0,100,512640000,800,3
Floyd,0.84328812,0,100,1001000000,1000,3
Floyd,2.99405955,0,100,18446744072791834320,1500,3
Floyd,0.00000524,0,100,1100,10,4
Floyd,0.00006810,0,100,16250,25,4
Floyd,0.00044796,0,100,127500,50,4
Floyd,0.00081406,0,100,427500,75,4
Floyd,0.00098978,0,100,1010000,100,4
Floyd,0.00320456,0,100,3397500,150,4
Floyd,0.00672655,0,100,8040000,200,4
Floyd,0.01276279,0,100,15687500,250,4
Floyd,0.02116397,0,100,27090000,300,4
Floyd,0.04806562,0,100,64160000,400,4
Floyd,0.08974894,0,100,125250000,500,4
Floyd,0.20241911,0,100,275047500,650,4
Floyd,0.42715400,0,100,512640000,800,4
Floyd,0.83902296,0,100,1001000000,1000,4
Floyd,2.98940444,0,100,18446744072791834320,1500,4
Floyd,0.00000475,0,100,1100,10,5
Floyd,0.00002242,0,100,16250,25,5
Floyd,0.00013773,0,100,127500,50,5
Floyd,0.00043601,0,100,427500,75,5
Floyd,0.00097923,0,100,1010000,100,5
Floyd,0.00319221,0,100,3397500,150,5
Floyd,0.00668912,0,100,8040000,200,5
Floyd,0.01268955,0,100,15687500,250,5
Floyd,0.02097754,0,100,27090000,300,5
Floyd,0.04768131,0,100,64160000,400,5
Floyd,0.08919869,0,100,125250000,500,5
Floyd,0.20012097,0,100,275047500,650,5
Floyd,0.42574733,0,100,512640000,800,5
Floyd,0.84167778,0,100,1001000000,1000,5
Floyd,3.00000401,0,100,18446744072791834320,1500,5
Floyd,0.00000468,0,100,1100,10,6
Floyd,0.00002437,0,100,16250,25,6
Floyd,0.00013759,0,100,127500,50,6
Floyd,0.00044789,0,100,427500,75,6
Floyd,0.00098126,0,100,1010000,100,6
Floyd,0.00318739,0,100,3397500,150,6
Floyd,0.00670010,0,100,8040000,200,6
Floyd,0.01285154,0,100,15687500,250,6
Floyd,0.02105384,0,100,27090000,300,6
Floyd,0.04773168,0,100,64160000,400,6
Floyd,0.08928442,0,100,125250000,500,6
Floyd,0.19504608,0,100,275047500,650,6
Floyd,0.42832415,0,100,512640000,800,6
Floyd,0.83432617,0,100,1001000000,1000,6
Floyd,2.98559279,0,100,18446744072791834320,1500,6
