Algoritmo,Tempo (s),Uso de Memória (MB),Precisão (%),Número de Comparações,Vertices,Execução
Johnson,0.00001054,0,100,1832,10,2
Johnson,0.00007738,0,100,31875,25,2
Johnson,0.00059159,0,100,252500,50,2
Johnson,0.00185291,0,100,849375,75,2
Johnson,0.00443219,0,100,2010000,100,2
Johnson,0.01404640,0,100,6772500,150,2
Johnson,0.03255501,0,100,16040000,200,2
Johnson,0.06120036,0,100,31312500,250,2
Johnson,0.10373909,0,100,54090000,300,2
Johnson,0.23695719,0,100,128160000,400,2
Johnson,0.44878825,0,100,250250000,500,2
Johnson,0.96252218,0,100,549672500,650,2
Johnson,1.80538671,0,100,1024640000,800,2
Johnson,3.57641759,0,100,2001000000,1000,2
Johnson,11.76383151,0,100,18446744071871867024,1500,2
Johnson,0.00000957,0,100,1832,10,3
Johnson,0.00007850,0,100,31875,25,3
Johnson,0.00057777,0,100,252500,50,3
Johnson,0.00188065,0,100,849375,75,3
Johnson,0.00444844,0,100,2010000,100,3
Johnson,0.01408176,0,100,6772500,150,3
Johnson,0.03279933,0,100,16040000,200,3
Johnson,0.06155017,0,100,31312500,250,3
Johnson,0.10384342,0,100,54090000,300,3
Johnson,0.23739516,0,100,128160000,400,3
Johnson,0.45001180,0,100,250250000,500,3
Johnson,0.96499161,0,100,549672500,650,3
Johnson,1.80478266,0,100,1024640000,800,3
Johnson,3.51395874,0,100,2001000000,1000,3
Johnson,11.76664610,0,100,18446744071871867024,1500,3
Johnson,0.00001048,0,100,1832,10,4
Johnson,0.00008136,0,100,31875,25,4
Johnson,0.00059034,0,100,252500,50,4
Johnson,0.00187236,0,100,849375,75,4
Johnson,0.00444653,0,100,2010000,100,4
Johnson,0.01409677,0,100,6772500,150,4
Johnson,0.03266696,0,100,16040000,200,4
Johnson,0.06159220,0,100,31312500,250,4
Johnson,0.10317639,0,100,54090000,300,4
Johnson,0.23640130,0,100,128160000,400,4
Johnson,0.44957309,0,100,250250000,500,4
Johnson,0.96646637,0,100,549672500,650,4
Johnson,1.80464666,0,100,1024640000,800,4
Johnson,3.51475037,0,100,2001000000,1000,4
Johnson,11.76629853,0,100,18446744071871867024,1500,4
Johnson,0.00001013,0,100,1832,10,5
Johnson,0.00007787,0,100,31875,25,5
Johnson,0.00060054,0,100,252500,50,5
Johnson,0.00185736,0,100,849375,75,5
Johnson,0.00441458,0,100,2010000,100,5
Johnson,0.01402225,0,100,6772500,150,5
Johnson,0.03252012,0,100,16040000,200,5
Johnson,0.06131030,0,100,31312500,250,5
Johnson,0.10301935,0,100,54090000,300,5
Johnson,0.23582171,0,100,128160000,400,5
Johnson,0.44906101,0,100,250250000,500,5
Johnson,0.96561423,0,100,549672500,650,5
Johnson,1.81462147,0,100,1024640000,800,5
Johnson,3.56924737,0,100,2001000000,1000,5
Johnson,11.77627026,0,100,18446744071871867024,1500,5
Johnson,0.00000999,0,100,1832,10,6
Johnson,0.00007759,0,100,31875,25,6
Johnson,0.00057799,0,100,252500,50,6
Johnson,0.00185599,0,100,849375,75,6
Johnson,0.00442042,0,100,2010000,100,6
Johnson,0.01403662,0,100,6772500,150,6
Johnson,0.03258718,0,100,16040000,200,6
Johnson,0.06134268,0,100,31312500,250,6
Johnson,0.10382681,0,100,54090000,300,6
Johnson,0.23673598,0,100,128160000,400,6
Johnson,0.45016359,0,100,250250000,500,6
Johnson,0.96787593,0,100,549672500,650,6
Johnson,1.80932400,0,100,1024640000,800,6
Johnson,3.57082850,0,100,2001000000,1000,6
Johnson,11.77084036,0,100,18446744071871867024,1500,6
